cluster_label,label,val1,val2
A,A,-6.59,0.46
B,B,0.82,4.42
B,B,0.25,5.34
C,C,4.58,-1.9
A,A,-7.1,0.15
A,A,-6.84,0.8
B,B,-0.11,6.63
C,C,6.15,-1.91
B,B,-0.27,3.34
B,B,0.45,5.85
B,B,-0.7,6.87
C,C,5.53,1.91
B,B,0.44,5.43
A,A,-6.98,-0.74
A,A,-6.83,-0.69
C,C,6.78,0.49
C,C,6.55,0.29
A,A,-7.09,1.0
C,C,5.4,2.47
D,D,-0.91,-1.98
A,A,-7.92,-1.45
B,D,-1.4,1.88
B,B,-0.33,5.53
D,D,-0.68,-1.82
B,B,0.39,4.61
C,C,5.92,-0.04
B,B,0.11,5.4
D,D,1.33,-1.91
B,B,-1.2,6.25
C,C,6.02,-1.91
C,C,7.23,-1.47
A,A,-7.61,0.28
A,A,-7.1,0.07
B,B,0.24,3.33
D,D,-0.57,-1.34
B,B,-0.3,5.52
C,C,6.93,-1.37
C,C,5.92,1.91
B,B,-0.65,7.33
C,C,7.43,1.17
B,B,0.96,3.96
B,B,0.32,3.57
D,D,0.89,-2.47
D,D,-1.53,-4.42
B,B,-0.46,4.86
D,D,1.52,0.99
B,B,-0.98,7.14
A,A,-8.17,-0.63
D,D,-4.06,-3.35
A,A,-8.86,-0.34
C,C,7.91,1.67
C,C,8.82,0.96
A,A,-6.83,0.17
B,B,-0.14,4.77
A,A,-6.47,-0.28
B,B,1.0,7.22
D,D,-0.92,-2.14
C,C,5.81,1.17
C,C,5.46,0.18
D,D,-0.66,-2.76
C,C,6.14,0.58
A,A,-7.71,-0.18
C,D,2.9,-1.69
C,C,3.3,1.24
B,B,-0.04,5.4
D,D,-2.48,-3.62
D,D,-1.07,-1.45
A,A,-6.94,0.04
C,C,7.38,-1.81
A,A,-7.29,0.05
D,D,-1.05,-2.03
A,A,-7.02,-0.0
D,D,0.51,-2.66
C,C,4.42,0.28
B,B,0.13,5.53
A,A,-6.66,0.12
C,C,4.4,-0.57
D,D,-2.48,-0.98
A,A,-8.29,1.24
C,C,5.04,-1.74
C,C,6.9,-1.22
C,C,3.17,0.18
B,B,0.71,6.22
A,A,-8.57,0.4
A,A,-7.36,0.9
A,A,-7.66,-0.23
C,C,6.74,-0.62
A,A,-6.96,1.38
A,A,-7.5,0.48
C,C,7.07,2.39
C,C,6.06,-2.2
C,C,6.6,-0.64
A,A,-7.93,-0.35
C,C,8.02,-0.17
B,B,-0.07,3.91
B,B,1.57,4.99
C,C,7.05,-0.5
D,D,-1.5,-0.73
C,C,6.55,0.97
C,C,6.0,0.44
D,D,-2.35,0.51
D,D,0.28,-1.14
B,B,-0.7,6.74
A,A,-7.47,1.55
C,C,4.46,0.44
D,D,-2.41,-2.99
A,A,-6.95,-0.02
A,A,-7.32,-0.47
C,C,8.64,-0.05
C,C,7.58,2.26
C,C,4.77,2.49
C,C,6.98,0.97
B,B,-0.02,5.47
A,A,-6.89,-0.32
B,B,-1.45,6.49
C,C,5.25,2.09
B,B,-0.26,5.53
B,B,0.06,5.23
D,D,-2.33,-0.4
B,B,-0.23,5.6
D,D,-1.12,-2.12
D,D,0.64,-1.55
A,A,-6.58,0.92
B,B,0.23,5.77
C,C,5.14,-0.77
B,B,0.59,5.11
D,D,2.45,-1.35
A,A,-5.91,1.11
B,B,-0.26,5.68
A,A,-6.87,0.13
B,B,-0.35,4.72
A,A,-7.48,1.3
C,C,6.02,1.17
A,A,-6.75,0.06
D,D,-0.9,-2.49
D,D,-0.56,-2.15
B,B,0.66,5.3
D,D,-3.03,-5.02
D,D,0.24,-1.29
C,C,7.57,-1.88
C,C,8.87,0.77
A,A,-5.99,-0.7
A,A,-7.12,0.38
D,D,-0.91,-1.96
A,A,-7.58,-0.79
D,D,-1.09,-3.63
A,D,-4.71,-1.53
C,C,7.59,-1.6
B,B,0.96,4.54
D,D,-0.85,-2.06
A,A,-7.05,-0.42
B,B,1.17,6.88
C,C,7.62,0.42
B,B,0.44,4.2
D,D,-1.0,-2.43
A,A,-8.08,0.7
B,B,-0.23,6.09
D,D,-0.51,-3.13
C,C,6.43,0.11
D,D,-0.92,-4.22
C,C,3.85,-1.61
D,D,-1.14,0.29
B,B,0.03,5.44
A,A,-6.75,-1.25
C,C,7.62,-1.21
B,B,0.32,6.63
B,B,-1.22,4.13
D,D,1.97,-1.17
A,A,-6.84,-0.42
B,B,-2.1,5.32
B,B,1.33,6.03
A,A,-5.3,-0.67
A,D,-4.75,-2.83
C,C,6.03,-0.79
D,D,-0.98,-1.94
D,D,-0.88,-4.3
B,B,-0.1,4.99
A,A,-6.85,-0.13
A,A,-6.89,-0.22
D,D,0.66,-2.5
A,A,-8.26,-0.86
B,B,0.33,4.72
D,D,-0.78,-3.2
A,A,-7.36,0.59
C,C,6.22,2.89
B,D,-1.35,1.83
A,A,-6.32,-1.41
C,C,5.67,0.39
B,B,0.31,7.14
C,C,3.83,-0.36
C,C,6.3,0.97
D,D,-2.66,-4.64
C,C,6.42,0.56
A,A,-6.26,0.96
A,D,-4.43,-2.13
A,A,-5.54,-0.67
D,D,-3.09,-4.97
D,D,0.64,-0.97
A,A,-6.12,-1.67
A,A,-6.84,0.16
D,D,-2.62,-0.06
A,A,-6.82,0.1
B,B,1.02,4.24
B,B,0.47,4.2
A,A,-7.9,0.77
C,C,7.38,-0.65
B,B,-0.09,5.44
B,B,0.01,5.52
D,D,-1.88,0.46
A,D,-3.86,-0.21
A,A,-6.93,-0.2
A,A,-5.33,0.0
C,C,6.93,-2.33
C,C,4.88,2.66
B,B,1.98,5.06
C,C,4.99,-1.18
B,B,-0.31,6.46
C,C,5.89,-2.58
D,D,0.41,-1.12
C,C,7.73,-1.12
C,C,5.84,0.23
C,C,7.08,-2.34
B,B,0.03,6.88
D,D,-3.6,-1.02
D,D,-1.14,-1.44
C,C,6.16,0.32
C,C,4.24,-0.43
C,C,6.72,1.59
A,A,-7.35,-0.79
D,D,-2.32,1.26
A,A,-6.54,0.77
B,B,-0.0,6.07
B,B,0.42,6.3
B,B,0.92,7.31
B,B,-1.12,5.48
A,A,-6.12,-0.64
D,D,-0.84,-2.09
C,C,4.83,2.16
C,C,6.31,0.19
D,D,-2.08,-0.28
C,C,8.1,0.16
D,D,-1.17,-5.9
C,C,5.41,-2.5
D,D,0.58,0.96
A,A,-5.67,-0.26
D,D,-0.93,-2.23
D,D,-3.57,-2.04
B,B,-0.95,6.56
A,A,-7.71,1.67
D,D,-1.17,-1.78
B,B,0.03,5.48
A,A,-7.59,-0.44
A,A,-6.77,-0.45
A,A,-5.81,-0.78
B,B,1.22,5.96
C,C,4.19,-1.74
A,A,-6.6,0.32
A,A,-6.9,0.05
D,D,0.01,-4.24
B,B,-0.87,5.73
B,B,1.26,6.66
D,D,-0.75,-2.2
C,C,3.83,-0.5
B,B,0.97,6.8
B,B,1.75,5.46
B,B,1.16,6.11
C,C,6.28,-0.14
A,A,-7.42,-0.24
A,A,-7.89,-0.45
A,A,-7.24,-1.23
B,B,1.14,4.56
B,B,-1.9,4.83
A,A,-6.75,0.3
B,B,-0.19,6.1
A,A,-7.5,-0.1
C,C,7.08,-2.53
C,C,5.61,-0.29
C,C,6.61,-0.5
C,C,7.04,-1.11
D,D,-1.19,-2.14
A,A,-7.03,0.89
A,A,-6.77,1.02
D,D,-3.49,-2.94
B,B,1.09,6.53
D,D,-0.13,-1.66
C,C,5.5,0.45
C,C,7.13,-0.16
D,D,-0.39,-3.7
B,B,-1.66,4.7
B,B,-0.4,4.46
A,A,-5.96,-0.32
B,B,0.08,6.22
B,B,-1.75,6.5
B,B,0.01,5.52
C,C,5.14,-1.33
D,D,-3.93,-2.4
D,D,-2.29,-4.66
B,B,-0.05,5.55
A,A,-7.16,1.21
B,B,-0.01,5.21
A,A,-6.98,-0.06
A,A,-8.95,0.38
B,B,0.0,4.86
B,B,-0.07,5.49
C,C,8.71,0.58
B,B,0.56,4.67
B,B,0.66,4.09
B,B,-1.62,6.55
D,D,-2.01,-4.32
B,B,-0.46,4.78
C,C,6.12,-0.0
C,C,7.78,2.33
B,B,-0.17,4.52
C,C,7.68,-1.89
D,D,-1.72,-3.13
C,C,5.54,0.49
A,A,-5.83,0.01
D,D,-1.12,1.56
B,B,-1.04,6.59
B,B,-0.44,5.19
A,A,-7.46,1.4
C,C,4.88,-0.12
C,C,4.52,-2.28
B,B,0.59,5.24
A,A,-6.9,-0.14
C,C,6.39,0.24
C,C,6.21,-0.09
B,B,1.1,7.38
C,C,6.47,-2.69
A,A,-7.54,1.65
A,A,-5.57,-0.2
A,A,-6.76,-1.22
C,C,5.88,0.02
D,D,-0.65,-2.35
A,A,-6.95,1.5
C,C,5.13,2.65
D,D,-0.94,-1.95
A,A,-7.09,-1.33
B,B,-0.75,5.07
A,A,-7.5,1.55
D,D,-1.1,-1.76
C,C,6.07,-1.23
A,A,-8.14,-0.96
D,D,0.52,-0.72
B,B,1.06,6.44
A,A,-7.02,0.14
B,B,-1.44,5.28
A,A,-6.94,0.25
B,B,0.8,5.35
C,C,6.22,0.78
C,C,6.02,0.1
D,D,-0.61,-1.74
B,B,-0.34,5.33
D,D,-0.83,-3.52
A,A,-7.63,-0.88
B,B,0.18,6.33
C,C,7.14,0.41
C,C,6.38,2.12
D,D,2.35,-2.33
B,B,-0.16,5.77
C,C,4.15,-1.37
D,D,2.29,-1.91
D,D,-1.37,0.61
A,A,-7.07,0.07
B,B,-0.6,5.84
B,B,1.26,4.78
B,B,0.1,5.56
C,C,7.38,-0.18
B,B,-0.44,4.01
D,D,-1.12,-2.7
A,A,-6.98,0.45
A,A,-6.27,-0.53
B,B,0.09,5.89
D,D,-1.15,-1.59
D,D,-1.2,-2.7
D,D,-0.96,-1.58
C,C,5.39,-0.58
D,D,0.0,-1.88
A,A,-7.53,1.47
C,C,7.08,-2.45
C,C,6.02,-0.82
C,C,5.18,-0.17
C,C,5.99,-2.58
B,B,-0.83,6.07
A,A,-7.9,-0.79
B,B,1.25,4.7
C,C,6.99,-1.05
C,C,6.05,0.71
B,B,0.72,3.83
B,B,-1.04,6.88
C,C,5.5,-1.51
D,D,-2.35,0.17
B,B,1.08,6.09
A,A,-6.29,-0.89
C,C,5.61,-0.06
C,C,4.86,0.11
A,A,-7.83,0.54
C,C,7.87,0.93
B,B,1.76,5.46
C,C,5.07,-2.51
D,D,-3.99,-2.93
C,C,7.2,0.5
D,D,0.81,-5.43
C,C,5.11,-0.24
B,B,0.11,6.3
A,A,-7.04,-1.99
D,D,1.52,0.37
C,C,5.82,0.44
C,C,5.24,-0.62
B,B,0.15,5.48
A,A,-6.84,-0.4
B,B,0.23,7.15
D,D,-1.1,-2.12
D,D,-1.01,-2.27
B,B,-1.87,6.12
B,B,-1.76,6.64
D,D,-0.99,-1.25
B,B,1.09,5.38
B,B,0.72,4.61
C,C,5.88,-0.15
D,D,-3.55,-2.19
B,B,-1.16,3.75
B,B,1.3,6.24
D,D,0.22,-4.73
B,B,-0.65,5.59
D,D,-1.52,-1.71
A,A,-7.27,-0.1
A,A,-6.77,-0.04
A,A,-7.31,-0.48
A,A,-7.0,-0.02
C,C,3.51,-0.51
C,C,7.24,-1.35
B,B,-0.68,4.92
D,D,-0.29,-1.57
D,D,-2.86,1.24
A,A,-6.63,-0.19
A,A,-6.33,-0.81
B,B,0.45,6.17
A,A,-7.11,0.96
D,D,-2.45,-1.85
A,A,-6.55,0.34
D,D,-1.68,-1.29
C,C,7.87,1.94
D,D,-1.2,-1.47
C,C,6.27,0.02
B,B,-0.26,4.89
A,A,-7.57,-0.42
C,C,4.73,-0.18
D,D,-0.89,-5.34
A,A,-6.28,0.67
D,D,1.46,-3.18
D,D,-1.78,-4.09
D,D,-0.85,-1.57
D,D,-3.14,-3.95
A,A,-7.48,-0.18
A,A,-6.58,-0.16
C,C,6.18,0.01
A,A,-8.14,1.21
A,A,-7.31,-0.47
D,D,0.41,-1.5
A,A,-7.08,1.44
C,C,4.26,-0.48
C,C,7.21,-1.79
A,A,-6.92,0.03
B,B,0.8,5.83
A,A,-7.04,-0.06
C,C,6.04,0.89
B,B,1.33,5.33
C,C,7.69,2.33
C,C,8.17,1.21
D,D,-2.0,-1.6
C,C,5.47,-1.54
D,D,-1.4,-5.92
D,D,-1.07,-0.64
D,D,0.46,-4.23
C,C,6.4,0.26
A,A,-6.61,-1.4
D,D,0.68,-3.08
A,A,-7.61,-0.09
B,D,-0.49,1.8
C,C,4.89,-1.2
A,A,-7.04,-0.05
B,B,-2.07,5.03
B,B,1.05,4.41
A,A,-5.98,0.47
D,D,-0.19,-1.7
C,C,5.99,-0.03
A,A,-6.89,0.18
D,D,-1.26,-1.96
B,B,-0.95,5.85
D,D,-2.41,-1.86
A,A,-8.48,0.81
D,D,2.29,-3.22
D,D,-1.85,-0.33
D,D,-0.79,-1.86
A,A,-6.79,0.01
C,C,3.23,-0.41
B,B,-0.05,5.73
D,D,-1.58,1.39
C,C,7.1,-0.39
A,A,-5.88,-1.02
B,B,-1.41,5.2
A,A,-8.18,0.21
A,A,-7.54,-0.32
A,A,-7.55,-0.21
D,D,-0.83,-3.13
D,D,1.07,-2.45
B,B,-0.18,4.82
B,B,-1.43,5.69
C,C,5.11,-1.03
C,C,5.54,-2.64
C,C,8.33,-1.49
D,D,-2.71,-3.64
D,D,-0.96,-1.82
D,D,1.56,-4.25
D,D,-2.1,-2.29
B,B,0.75,5.89
D,D,1.06,-4.0
A,A,-6.41,-0.71
B,B,-0.24,7.17
D,D,-0.68,0.02
B,B,-0.02,5.07
C,C,6.06,0.52
C,C,5.87,-0.21
D,D,-3.12,0.15
D,D,-1.61,0.36
B,B,0.06,6.79
A,A,-5.97,-0.55
C,C,6.39,-0.31
D,D,-0.96,-1.93
B,B,0.89,5.69
A,A,-7.11,0.12
A,A,-7.1,-0.81
C,C,5.73,-0.46
D,D,0.43,-1.15
B,B,-0.39,3.65
C,C,6.07,0.08
C,C,6.77,1.18
A,A,-7.78,-0.93
C,C,7.4,-1.65
D,D,-1.17,-2.5
A,A,-6.6,0.16
D,D,-0.34,-3.03
A,A,-5.9,0.6
C,C,4.03,0.67
D,D,-0.93,-3.34
D,D,-1.16,-2.43
C,C,6.0,0.08
B,B,-0.03,3.88
B,B,-0.27,5.57
A,A,-8.97,-0.15
B,D,-0.42,1.7
B,B,0.35,4.03
D,D,-0.47,-2.49
C,C,7.19,0.38
B,B,0.68,5.48
B,B,1.15,4.2
B,B,0.06,4.77
B,B,0.32,5.48
D,D,-0.38,-1.26
B,B,-0.59,5.41
D,D,-1.74,-4.22
D,D,-2.34,-4.53
D,D,-1.1,-1.99
B,B,0.09,6.04
C,C,7.73,-0.37
C,C,3.57,-0.08
D,D,-1.06,-1.65
C,C,6.54,1.72
A,A,-5.39,0.09
D,D,-2.62,-0.63
A,A,-5.89,0.68
B,B,0.25,6.38
A,A,-6.71,-0.64
C,C,4.7,-1.12
B,B,-0.31,6.86
D,D,0.59,-3.82
C,C,5.31,-0.2
D,D,0.08,0.68
C,C,3.73,-1.74
C,C,3.5,1.55
A,A,-6.61,1.3
C,C,6.08,0.76
D,D,-1.88,0.13
A,A,-6.58,-0.71
B,B,-0.01,5.49
D,D,-2.73,-2.15
C,C,4.27,0.59
B,B,-0.34,5.37
D,D,-2.12,-2.93
C,C,6.64,-0.17
C,C,5.22,2.44
A,A,-7.04,-0.36
A,A,-6.54,-0.29
B,B,-1.13,6.03
C,C,7.45,1.61
D,D,-1.32,-2.63
B,B,0.03,5.57
B,B,0.28,5.27
A,A,-8.23,1.18
A,A,-6.59,0.18
C,C,8.51,-1.18
A,A,-6.98,-0.5
B,B,0.34,3.52
A,A,-7.33,0.53
B,B,0.69,4.33
D,D,-0.67,-2.24
D,D,1.45,0.66
C,C,3.98,-2.18
C,C,5.81,-2.99
B,B,-0.07,5.61
C,C,7.3,1.26
D,D,0.49,-2.18
C,C,5.71,0.62
C,C,3.52,1.12
B,B,0.62,6.64
B,B,1.29,6.34
B,B,1.71,5.72
A,A,-6.95,-0.07
A,A,-6.84,0.56
C,C,5.57,-0.07
B,B,1.55,5.48
D,D,-1.0,-2.99
A,A,-6.84,-0.66
A,A,-6.44,1.51
B,B,0.63,4.21
B,B,-0.04,3.34
D,D,-1.42,0.97
D,D,-0.86,-1.0
A,A,-7.93,-0.59
B,B,-0.04,4.89
B,B,-0.07,5.96
A,A,-7.34,-1.16
C,C,7.12,-1.12
D,D,-1.46,-1.13
C,C,5.91,0.59
A,A,-7.1,0.28
A,A,-6.48,0.41
A,A,-5.85,0.4
D,D,-2.06,-1.83
D,D,0.47,-1.99
D,D,-2.64,-0.78
B,B,0.97,6.17
B,B,-1.0,6.13
A,A,-6.6,0.36
C,C,6.24,-1.55
B,B,-1.72,4.82
C,C,6.3,0.33
B,B,-0.98,5.8
B,B,-0.81,4.24
C,C,5.79,2.08
B,B,0.42,5.87
C,C,5.43,1.26
B,B,-1.84,5.74
B,B,0.09,4.7
C,C,4.23,-0.34
A,A,-6.93,-0.04
D,D,-1.82,-5.69
A,A,-6.83,-0.9
D,D,1.56,-1.28
B,B,2.06,5.58
C,C,6.45,-0.14
B,B,0.14,5.54
D,D,-2.17,-2.61
A,A,-6.76,1.17
D,D,1.41,-0.04
A,A,-7.41,0.28
C,C,5.02,-1.37
B,B,1.4,7.07
D,D,-1.04,-2.27
D,D,-1.05,-0.81
C,C,7.26,-0.59
B,B,0.52,6.81
A,A,-6.44,0.4
A,A,-6.55,0.53
D,D,2.23,-4.0
D,D,1.71,-4.04
A,A,-6.95,-0.01
D,D,-2.12,-0.67
B,B,-1.12,6.58
A,A,-8.13,-0.09
A,A,-7.29,-1.22
D,D,0.84,-2.41
A,A,-6.21,1.01
B,B,-0.05,5.32
B,B,0.51,4.67
C,C,3.38,0.97
B,B,-0.64,6.1
D,D,-3.5,-3.15
B,B,0.34,5.4
D,D,-2.76,1.06
C,C,5.38,-0.01
B,B,0.17,5.06
A,A,-7.14,-0.01
B,B,1.32,6.56
B,B,-1.06,6.8
D,D,-1.41,-1.99
A,A,-7.68,0.3
B,B,-0.08,6.51
C,C,5.44,-1.43
C,C,7.51,2.2
B,B,0.14,6.41
A,A,-6.87,0.02
C,C,6.78,1.3
A,A,-7.27,1.3
B,B,-1.79,4.24
B,B,-0.37,5.91
C,C,6.88,1.77
A,A,-7.49,1.66
C,C,5.47,-0.28
A,A,-7.28,0.68
B,B,-0.3,5.35
C,C,5.64,-2.0
C,C,7.06,-0.95
A,A,-8.23,-1.39
A,A,-7.23,-0.71
B,B,0.47,7.63
D,D,-2.59,-2.16
A,A,-6.66,0.97
A,A,-6.89,-1.33
B,B,1.44,4.65
A,A,-5.56,0.53
C,C,6.4,0.03
D,D,-3.52,-2.12
C,C,6.52,0.39
D,D,-2.97,-3.57
B,B,-1.63,4.24
B,B,-0.12,5.27
B,B,-0.06,5.56
D,D,-1.64,-4.57
B,B,-0.03,7.18
C,C,6.98,-2.44
B,B,-0.32,5.05
C,C,5.59,2.16
A,A,-5.69,0.42
B,B,1.39,6.77
B,B,0.24,4.95
A,A,-6.95,-0.14
B,B,0.16,5.23
B,B,-1.28,5.69
A,A,-7.38,-0.44
D,D,1.08,-1.98
B,B,-0.59,5.08
A,A,-6.94,0.38
D,D,-3.63,-4.37
C,C,6.47,0.54
A,A,-6.91,0.85
D,D,-1.73,-1.91
D,D,-2.07,-2.4
B,B,-1.61,5.14
B,B,1.57,6.95
A,A,-7.76,0.3
A,A,-6.93,-0.37
D,D,0.38,-3.43
B,B,0.01,5.28
C,C,3.39,0.39
B,B,0.27,6.04
A,A,-7.08,0.02
B,B,0.42,4.39
B,B,-0.36,5.3
C,C,4.81,-2.11
D,D,-2.03,-1.91
D,D,1.7,-3.66
B,B,-0.49,5.63
B,B,0.39,3.86
D,D,-1.86,-4.69
A,A,-7.04,-0.08
C,C,6.31,-0.19
A,A,-6.92,-1.61
A,A,-7.19,-0.39
C,C,4.21,1.69
B,B,0.94,5.09
C,C,5.12,0.34
A,A,-5.77,-0.66
C,C,4.89,1.0
D,D,-0.9,-3.04
B,B,-0.22,4.52
D,D,-3.47,-3.55
C,C,7.97,0.43
D,D,0.05,-3.65
A,A,-7.22,0.93
A,A,-6.68,1.95
A,A,-7.24,0.14
A,A,-5.93,0.59
B,B,1.76,6.03
C,C,7.58,1.72
B,B,-0.05,7.32
A,A,-8.63,0.63
D,D,-0.91,-1.95
C,C,6.48,-0.37
D,D,-0.54,0.24
D,D,-1.86,-2.8
A,A,-7.43,0.1
B,B,0.36,3.73
A,A,-7.35,1.21
B,B,1.79,4.32
C,C,4.55,1.85
B,B,-0.07,5.74
C,C,7.34,-0.52
B,B,-0.71,4.21
D,D,-0.92,-2.67
C,C,7.23,0.48
A,A,-8.02,1.28
D,D,-2.65,0.64
C,C,5.82,-1.94
B,B,2.1,6.02
D,D,-1.4,0.92
B,B,1.06,5.97
C,C,3.47,0.11
C,C,7.02,2.48
D,D,0.2,-4.81
C,C,6.19,0.23
D,D,0.41,-5.04
C,C,6.13,-2.23
D,D,-3.21,-0.16
D,D,-3.89,-3.61
C,C,6.96,0.14
A,A,-5.3,-0.41
C,C,4.55,0.12
C,C,3.15,0.04
D,D,1.29,-2.33
B,D,-0.95,1.96
B,B,-0.06,5.37
B,B,0.84,5.71
C,C,8.2,0.14
C,C,7.04,0.76
B,B,-1.04,4.81
C,C,8.21,1.58
C,C,6.69,1.1
B,B,0.7,5.03
B,B,-0.88,7.11
A,A,-7.03,1.58
B,B,-0.27,5.62
C,C,6.58,-2.24
B,B,-0.35,5.02
D,D,0.74,0.01
D,D,-0.79,-0.18
B,B,-0.79,5.54
D,D,-0.36,-0.97
A,A,-6.85,0.24
C,C,7.08,-1.22
C,C,5.44,0.63
A,A,-6.84,0.85
A,A,-7.23,-0.42
A,A,-6.78,1.62
D,D,-1.01,-2.74
C,C,6.38,-0.58
B,B,0.02,5.5
A,A,-7.63,-0.4
A,A,-6.23,-1.33
D,D,-1.26,-0.68
D,D,-0.63,-2.25
A,A,-5.58,0.76
B,B,1.26,6.21
C,C,8.24,-0.09
D,D,-0.27,-1.44
C,C,6.04,0.01
A,A,-6.72,0.1
D,D,2.0,-2.59
C,C,3.68,1.07
A,A,-6.89,-0.41
A,A,-7.16,-1.53
D,D,1.06,-0.6
A,A,-7.0,-0.02
A,A,-6.59,0.58
A,A,-6.71,0.46
B,B,0.61,4.04
A,A,-7.21,-0.41
B,B,0.16,6.51
C,C,4.89,-0.38
A,A,-7.76,-1.43
A,A,-6.51,-0.84
D,D,-3.13,-0.73
A,A,-8.12,-1.31
A,A,-7.13,-0.51
C,C,6.14,-0.75
A,D,-4.06,-1.29
B,B,1.18,6.22
A,A,-7.01,0.03
C,C,4.82,-2.61
D,D,-2.69,-5.09
B,B,-0.28,7.43
A,A,-7.2,-0.0
A,A,-5.67,-0.05
D,D,-1.29,-1.88
A,A,-7.6,-0.01
C,C,3.99,-0.41
B,B,0.23,5.76
C,C,7.66,0.86
C,C,5.39,1.93
C,C,5.97,-0.07
B,B,-1.07,4.91
A,A,-5.78,-0.15
C,C,3.18,-0.88
D,D,0.56,-2.95
D,D,-2.17,-2.71
A,A,-7.59,-0.53
A,A,-7.83,-1.34
C,C,4.78,-1.98
B,B,-1.44,6.51
D,D,0.27,-0.9
C,C,7.52,0.87
D,D,-1.21,-5.29
D,D,0.36,-4.62
C,C,7.07,0.47
D,D,-0.83,0.25
C,C,6.23,0.14
A,A,-7.68,1.34
D,D,-0.35,-0.61
A,A,-7.1,-0.59
B,B,0.33,5.53
C,C,7.58,-0.05
B,B,-0.02,5.3
C,C,7.99,0.13
C,C,7.31,-1.52
A,A,-6.49,1.76
B,B,-0.52,4.53
D,D,-3.45,-0.79
A,A,-8.11,-0.61
B,B,-0.93,7.17
D,D,-0.75,-2.32
A,A,-6.4,-0.45
D,D,-0.78,-2.01
D,D,-1.13,-4.02
C,C,5.45,-0.77
A,A,-7.26,0.13
C,C,6.45,-0.76
A,A,-8.09,1.57
